,BigOneOccurnesPred,Gender,Age
219,Yes,Female,18 - 29
220,No,Female,18 - 29
221,Yes,Male,60
222,No,Female,60
223,No,Female,18 - 29
224,No,Female,60
225,No,Male,60
226,No,Male,45 - 59
227,No,Female,60
228,Yes,Female,18 - 29
229,No,Male,45 - 59
230,Yes,Female,60
231,Yes,Female,18 - 29
232,No,Female,60
233,No,Male,45 - 59
234,Yes,Male,60
235,Yes,Male,30 - 44
236,No,Female,18 - 29
237,No,Male,45 - 59
238,No,Male,30 - 44
239,No,Male,30 - 44
240,No,Female,18 - 29
241,No,Male,60
242,Yes,Male,60
243,Yes,Female,18 - 29
244,No,Male,60
245,No,Male,45 - 59
246,Yes,Male,30 - 44
247,No,Female,60
248,No,Male,45 - 59
249,Yes,Female,18 - 29
250,No,Male,60
251,No,Female,18 - 29
252,No,Female,60
253,Yes,Male,18 - 29
254,No,Male,60
255,Yes,Female,18 - 29
256,No,Male,60
257,No,Female,60
258,No,Male,60
259,No,Male,45 - 59
260,No,Female,45 - 59
261,No,Female,45 - 59
262,Yes,Female,18 - 29
263,Yes,Male,30 - 44
264,Yes,Female,18 - 29
265,No,Female,45 - 59
266,No,Male,18 - 29
267,No,Female,45 - 59
268,Yes,Female,45 - 59
269,Yes,Male,18 - 29
270,No,Male,45 - 59
271,Yes,Male,60
272,No,Female,45 - 59
273,Yes,Female,45 - 59
274,No,Female,60
275,No,Male,30 - 44
276,No,Female,45 - 59
277,Yes,Male,45 - 59
278,Yes,Male,45 - 59
279,Yes,Female,18 - 29
280,No,Female,18 - 29
281,Yes,Female,45 - 59
282,No,Female,60
283,Yes,Female,45 - 59
284,No,Female,45 - 59
285,Yes,Female,18 - 29
286,No,Male,60
287,No,Female,45 - 59
288,No,Female,45 - 59
289,Yes,Female,45 - 59
290,Yes,Female,45 - 59
291,No,Male,45 - 59
292,Yes,Female,30 - 44
293,No,Male,45 - 59
294,No,Female,60
295,No,Male,30 - 44
296,No,Female,18 - 29
297,No,Male,45 - 59
298,Yes,Female,30 - 44
299,No,Female,30 - 44
300,No,Female,45 - 59
301,Yes,Female,30 - 44
302,No,Female,30 - 44
303,No,Female,18 - 29
304,Yes,Male,30 - 44
305,No,Female,60
306,Yes,Female,30 - 44
307,Yes,Male,60
308,Yes,Female,45 - 59
309,Yes,Female,18 - 29
310,Yes,Male,30 - 44
311,Yes,Female,45 - 59
312,No,Male,60
313,No,Female,30 - 44
314,Yes,Female,30 - 44
315,No,Male,30 - 44
316,No,Female,30 - 44
317,Yes,Male,60
318,No,Female,18 - 29
319,No,Female,18 - 29
320,No,Male,30 - 44
321,Yes,Female,30 - 44
322,No,Female,45 - 59
323,No,Male,30 - 44
324,Yes,Female,30 - 44
325,Yes,Male,30 - 44
326,Yes,Female,30 - 44
327,No,Female,18 - 29
328,No,Female,60
329,No,Male,45 - 59
330,No,Female,60
331,Yes,Female,60
332,No,Female,60
333,Yes,Female,18 - 29
334,Yes,Male,60
335,Yes,Female,18 - 29
336,Yes,Female,18 - 29
337,No,Male,30 - 44
338,No,Female,30 - 44
339,Yes,Female,30 - 44
340,No,Female,45 - 59
341,Yes,Male,60
342,No,Female,30 - 44
343,Yes,Female,45 - 59
344,No,Female,45 - 59
345,No,Female,18 - 29
346,Yes,Male,45 - 59
347,No,Female,60
348,No,Male,45 - 59
349,No,Female,45 - 59
350,No,Female,45 - 59
351,Yes,Female,45 - 59
352,Yes,Male,45 - 59
353,No,Female,18 - 29
354,Yes,Female,60
355,No,Male,60
356,No,Male,18 - 29
357,No,Male,18 - 29
358,Yes,Answer not given,Answer not given
359,No,Female,30 - 44
360,Yes,Male,45 - 59
361,No,Female,45 - 59
362,Yes,Male,60
363,No,Female,60
364,Yes,Male,18 - 29
365,No,Female,30 - 44
366,No,Male,60
367,Yes,Male,45 - 59
368,No,Female,18 - 29
369,Yes,Female,30 - 44
370,No,Female,45 - 59
371,No,Male,60
372,Yes,Female,60
373,Yes,Female,60
374,Yes,Female,60
375,Yes,Female,30 - 44
376,No,Male,60
377,Yes,Female,30 - 44
378,Yes,Male,45 - 59
379,No,Female,60
380,No,Male,60
381,No,Female,45 - 59
382,No,Male,60
383,No,Male,30 - 44
384,Yes,Female,18 - 29
385,No,Female,30 - 44
386,Yes,Female,45 - 59
387,Yes,Female,45 - 59
388,Yes,Female,18 - 29
389,Yes,Female,30 - 44
390,No,Female,60
391,No,Male,60
392,Yes,Male,30 - 44
393,No,Female,18 - 29
394,No,Female,30 - 44
395,Yes,Answer not given,Answer not given
396,No,Male,45 - 59
397,No,Female,60
398,No,Female,45 - 59
399,Yes,Female,30 - 44
400,Yes,Male,18 - 29
401,Yes,Female,18 - 29
402,No,Male,60
403,No,Male,18 - 29
404,Yes,Male,60
405,No,Female,18 - 29
406,No,Female,18 - 29
407,No,Female,30 - 44
408,Yes,Female,60
409,Yes,Female,45 - 59
410,No,Female,30 - 44
411,Yes,Female,60
412,Yes,Female,45 - 59
413,No,Male,60
414,No,Female,18 - 29
415,Yes,Female,30 - 44
416,Yes,Male,60
417,Yes,Female,18 - 29
418,Yes,Male,30 - 44
419,No,Male,45 - 59
420,Yes,Female,45 - 59
421,Yes,Male,30 - 44
422,No,Female,30 - 44
423,No,Female,18 - 29
424,No,Female,30 - 44
425,No,Male,60
426,Yes,Male,18 - 29
427,No,Male,30 - 44
428,No,Female,60
429,Yes,Female,45 - 59
430,Yes,Male,30 - 44
431,Yes,Female,45 - 59
432,No,Male,30 - 44
433,No,Female,30 - 44
434,Yes,Female,60
435,Yes,Female,45 - 59
436,No,Male,60
437,No,Male,18 - 29
438,No,Female,60
439,Yes,Female,60
440,Yes,Female,30 - 44
441,Yes,Female,45 - 59
442,No,Male,30 - 44
443,Yes,Female,60
444,No,Male,45 - 59
445,No,Female,30 - 44
446,No,Female,60
447,No,Female,45 - 59
448,No,Male,45 - 59
449,No,Female,30 - 44
450,No,Female,30 - 44
451,Yes,Female,45 - 59
452,No,Female,30 - 44
453,No,Female,18 - 29
454,No,Female,30 - 44
455,No,Male,30 - 44
456,No,Male,60
457,Yes,Female,45 - 59
458,No,Female,45 - 59
459,No,Male,45 - 59
460,No,Female,60
461,No,Female,30 - 44
462,No,Female,60
463,Yes,Female,45 - 59
464,No,Female,45 - 59
465,Yes,Female,18 - 29
466,Yes,Male,60
467,No,Female,60
468,No,Female,18 - 29
469,No,Female,45 - 59
470,No,Female,60
471,No,Female,60
472,No,Female,45 - 59
473,Yes,Male,45 - 59
474,No,Female,60
475,No,Female,30 - 44
476,No,Female,30 - 44
477,No,Male,60
478,Yes,Male,30 - 44
479,Yes,Female,30 - 44
480,Yes,Female,18 - 29
481,Yes,Male,45 - 59
482,No,Female,45 - 59
483,Yes,Female,30 - 44
484,Yes,Male,45 - 59
485,No,Female,18 - 29
486,No,Female,60
487,Yes,Female,30 - 44
488,No,Female,45 - 59
489,No,Female,18 - 29
490,No,Male,60
491,No,Female,45 - 59
492,No,Female,30 - 44
493,Yes,Female,60
494,No,Female,30 - 44
495,No,Male,60
496,No,Male,45 - 59
497,Yes,Female,45 - 59
498,Yes,Female,45 - 59
499,No,Male,45 - 59
500,No,Female,60
501,No,Female,60
502,No,Male,45 - 59
503,Yes,Female,60
504,Yes,Male,30 - 44
505,Yes,Male,45 - 59
506,Yes,Female,18 - 29
507,No,Male,60
508,No,Male,45 - 59
509,Yes,Female,60
510,Yes,Male,45 - 59
511,No,Male,45 - 59
512,No,Male,30 - 44
513,Yes,Male,30 - 44
514,No,Female,18 - 29
515,No,Female,18 - 29
516,Yes,Male,18 - 29
517,No,Female,45 - 59
518,Yes,Female,45 - 59
519,No,Female,60
520,No,Female,18 - 29
521,Yes,Female,30 - 44
522,Yes,Female,45 - 59
523,Yes,Male,45 - 59
524,Yes,Female,60
525,Yes,Female,30 - 44
526,Yes,Female,45 - 59
527,No,Female,60
528,No,Female,60
529,No,Male,30 - 44
530,No,Female,45 - 59
531,No,Male,45 - 59
532,No,Female,30 - 44
533,No,Female,30 - 44
534,No,Female,60
535,Yes,Female,60
536,No,Male,45 - 59
537,No,Female,30 - 44
538,No,Male,45 - 59
539,Yes,Female,45 - 59
540,No,Female,45 - 59
541,No,Female,60
542,No,Male,18 - 29
543,No,Female,18 - 29
544,No,Female,30 - 44
545,No,Female,45 - 59
546,Yes,Male,60
547,Yes,Male,30 - 44
548,No,Female,30 - 44
549,No,Male,18 - 29
550,Yes,Female,60
551,Yes,Male,30 - 44
552,No,Female,18 - 29
553,No,Female,60
554,No,Female,18 - 29
555,No,Male,30 - 44
556,No,Female,60
557,No,Female,45 - 59
558,No,Male,30 - 44
559,No,Female,60
560,No,Male,45 - 59
561,No,Male,45 - 59
562,Yes,Female,60
563,Yes,Female,30 - 44
564,Yes,Female,45 - 59
565,Yes,Female,45 - 59
566,No,Male,60
567,Yes,Female,45 - 59
568,No,Male,18 - 29
569,No,Male,45 - 59
570,No,Male,18 - 29
571,Yes,Female,18 - 29
572,No,Male,30 - 44
573,Yes,Female,45 - 59
574,No,Male,18 - 29
575,No,Male,60
576,No,Female,60
577,Yes,Female,45 - 59
578,No,Female,18 - 29
579,No,Female,45 - 59
580,No,Female,45 - 59
581,Yes,Male,18 - 29
582,Yes,Male,30 - 44
583,No,Female,60
584,No,Female,45 - 59
585,No,Female,45 - 59
586,No,Female,60
587,No,Female,45 - 59
588,Yes,Male,60
589,Yes,Female,60
590,Yes,Female,18 - 29
591,No,Male,30 - 44
592,No,Female,45 - 59
593,No,Female,18 - 29
594,Yes,Male,60
595,No,Female,18 - 29
596,No,Male,18 - 29
597,No,Female,45 - 59
598,No,Male,30 - 44
599,No,Female,30 - 44
600,No,Female,30 - 44
601,No,Male,18 - 29
602,Yes,Female,18 - 29
603,No,Male,60
604,Yes,Female,60
605,Yes,Female,30 - 44
606,No,Answer not given,Answer not given
607,No,Female,60
608,No,Female,30 - 44
609,No,Female,45 - 59
610,No,Female,30 - 44
611,Yes,Female,45 - 59
612,Yes,Male,45 - 59
613,No,Female,30 - 44
614,No,Female,45 - 59
615,No,Female,60
616,Yes,Female,45 - 59
617,Yes,Female,60
618,No,Female,30 - 44
619,No,Male,60
620,No,Male,60
621,Yes,Female,18 - 29
622,No,Male,45 - 59
623,Yes,Male,30 - 44
624,No,Male,60
625,No,Female,60
626,No,Female,18 - 29
627,Yes,Male,18 - 29
628,No,Female,45 - 59
629,No,Female,18 - 29
630,Yes,Female,30 - 44
631,Yes,Female,30 - 44
632,Yes,Female,45 - 59
633,Yes,Female,60
634,Yes,Male,30 - 44
635,Yes,Female,18 - 29
636,Yes,Female,18 - 29
637,No,Female,18 - 29
638,No,Female,60
639,No,Male,18 - 29
640,Yes,Female,18 - 29
641,No,Female,30 - 44
642,No,Female,18 - 29
643,No,Male,18 - 29
644,Yes,Female,18 - 29
645,No,Female,45 - 59
646,Yes,Female,18 - 29
647,Yes,Female,45 - 59
648,No,Male,18 - 29
649,No,Female,30 - 44
650,Yes,Male,45 - 59
651,Yes,Female,60
652,Yes,Male,60
653,Yes,Male,60
654,Yes,Female,18 - 29
655,No,Female,60
656,No,Female,45 - 59
657,Yes,Male,45 - 59
658,Yes,Female,45 - 59
659,No,Answer not given,Answer not given
660,Yes,Male,60
661,No,Male,30 - 44
662,Yes,Male,45 - 59
663,Yes,Male,45 - 59
664,Yes,Female,30 - 44
665,No,Female,60
666,No,Female,45 - 59
667,No,Male,60
668,No,Male,60
669,Yes,Male,60
670,No,Female,30 - 44
671,No,Female,45 - 59
672,No,Female,45 - 59
673,No,Female,30 - 44
674,Yes,Male,60
675,Yes,Male,45 - 59
676,Yes,Female,60
677,No,Male,18 - 29
678,Yes,Female,18 - 29
679,No,Male,60
680,Yes,Female,30 - 44
681,Yes,Female,18 - 29
682,Yes,Male,18 - 29
683,No,Female,18 - 29
684,No,Female,45 - 59
685,No,Male,60
686,Yes,Female,45 - 59
687,No,Female,60
688,No,Male,30 - 44
689,No,Male,30 - 44
690,No,Female,30 - 44
691,Yes,Female,18 - 29
692,No,Female,45 - 59
693,Yes,Female,18 - 29
694,No,Female,18 - 29
695,No,Female,45 - 59
696,No,Female,45 - 59
697,No,Male,60
698,No,Male,30 - 44
699,No,Female,60
700,Yes,Female,18 - 29
701,No,Female,45 - 59
702,Yes,Male,30 - 44
703,No,Male,18 - 29
704,No,Female,45 - 59
705,No,Male,30 - 44
706,No,Female,60
707,No,Female,60
708,Yes,Female,30 - 44
709,Yes,Male,18 - 29
710,No,Female,30 - 44
711,Yes,Female,60
712,Yes,Female,30 - 44
713,No,Female,60
714,Yes,Female,60
715,No,Male,45 - 59
716,Yes,Female,45 - 59
717,No,Male,30 - 44
718,No,Female,18 - 29
719,No,Male,30 - 44
720,No,Male,30 - 44
721,Yes,Female,45 - 59
722,Yes,Male,45 - 59
723,No,Female,18 - 29
724,Yes,Female,45 - 59
725,No,Male,18 - 29
726,No,Female,45 - 59
727,Yes,Female,60
728,Yes,Female,30 - 44
729,Yes,Female,30 - 44
730,No,Female,45 - 59
731,No,Male,18 - 29
732,Yes,Female,60
733,No,Female,30 - 44
734,Yes,Female,60
735,Yes,Female,60
736,No,Male,60
737,Yes,Answer not given,Answer not given
738,No,Male,30 - 44
739,No,Female,30 - 44
740,No,Female,45 - 59
741,Yes,Female,60
742,No,Female,18 - 29
743,Yes,Female,18 - 29
744,No,Female,30 - 44
745,No,Female,45 - 59
746,Yes,Female,60
747,Yes,Male,60
748,No,Female,60
749,No,Male,60
750,No,Female,30 - 44
751,Yes,Female,60
752,No,Male,60
753,Yes,Female,30 - 44
754,Yes,Female,45 - 59
755,No,Male,30 - 44
756,Yes,Female,45 - 59
757,No,Female,30 - 44
758,No,Male,60
759,No,Male,45 - 59
760,No,Female,45 - 59
761,No,Female,60
762,Yes,Male,45 - 59
763,Yes,Female,60
764,No,Female,45 - 59
765,No,Female,30 - 44
766,No,Female,18 - 29
767,No,Male,18 - 29
768,No,Female,30 - 44
769,No,Female,45 - 59
770,No,Female,60
771,Yes,Female,60
772,No,Male,45 - 59
773,No,Male,45 - 59
774,No,Female,30 - 44
775,No,Female,60
776,No,Male,18 - 29
777,No,Female,18 - 29
778,No,Female,30 - 44
779,No,Male,30 - 44
780,Yes,Female,18 - 29
781,Yes,Male,45 - 59
782,Yes,Male,30 - 44
783,Yes,Female,30 - 44
784,No,Female,30 - 44
785,Yes,Female,60
786,Yes,Female,30 - 44
787,Yes,Male,30 - 44
788,No,Male,18 - 29
789,Yes,Male,18 - 29
790,No,Female,45 - 59
791,No,Female,45 - 59
792,No,Male,45 - 59
793,Yes,Male,45 - 59
794,No,Female,60
795,Yes,Female,60
796,No,Male,60
797,No,Female,18 - 29
798,No,Male,60
799,No,Female,45 - 59
800,No,Female,45 - 59
801,No,Female,18 - 29
802,Yes,Male,60
803,No,Female,60
804,Yes,Female,30 - 44
805,No,Female,60
806,No,Female,18 - 29
807,No,Male,45 - 59
808,Yes,Female,30 - 44
809,Yes,Male,60
810,No,Female,30 - 44
811,Yes,Female,45 - 59
812,No,Female,18 - 29
813,Yes,Male,45 - 59
814,Yes,Male,60
815,Yes,Female,60
816,Yes,Female,18 - 29
817,Yes,Male,60
818,No,Female,45 - 59
819,Yes,Female,30 - 44
820,No,Female,60
821,Yes,Male,60
822,No,Female,30 - 44
823,No,Female,45 - 59
824,No,Male,60
825,No,Female,18 - 29
826,Yes,Female,30 - 44
827,Yes,Female,60
828,Yes,Female,60
829,Yes,Male,18 - 29
830,No,Female,60
831,Yes,Female,45 - 59
832,Yes,Female,45 - 59
833,Yes,Male,30 - 44
834,No,Female,18 - 29
835,Yes,Female,30 - 44
836,No,Female,45 - 59
837,No,Female,60
838,No,Male,45 - 59
839,Yes,Female,30 - 44
840,Yes,Female,30 - 44
841,Yes,Male,45 - 59
842,No,Female,45 - 59
843,Yes,Female,60
844,No,Female,30 - 44
845,No,Female,60
846,No,Male,18 - 29
847,Yes,Female,45 - 59
848,No,Female,18 - 29
849,Yes,Female,30 - 44
850,No,Male,60
851,Yes,Male,30 - 44
852,Yes,Female,45 - 59
853,No,Female,45 - 59
854,Yes,Female,30 - 44
855,No,Male,60
856,Yes,Female,18 - 29
857,No,Female,18 - 29
858,No,Female,60
859,No,Male,45 - 59
860,No,Female,18 - 29
861,No,Female,60
862,Yes,Female,30 - 44
863,No,Female,18 - 29
864,Yes,Male,45 - 59
865,Yes,Female,18 - 29
866,Yes,Male,45 - 59
867,Yes,Female,30 - 44
868,No,Female,60
869,No,Female,18 - 29
870,No,Female,60
871,No,Male,60
872,Yes,Answer not given,Answer not given
873,Yes,Male,60
874,No,Female,45 - 59
875,No,Female,18 - 29
876,Yes,Female,60
877,No,Female,60
878,Yes,Female,30 - 44
879,No,Female,18 - 29
880,No,Female,30 - 44
881,No,Female,45 - 59
882,Yes,Male,18 - 29
883,No,Male,60
884,No,Female,45 - 59
885,No,Female,18 - 29
886,Yes,Female,30 - 44
887,Yes,Female,45 - 59
888,Yes,Male,60
889,Yes,Female,18 - 29
890,No,Male,60
891,Yes,Female,45 - 59
892,No,Male,60
893,Yes,Female,60
894,No,Female,60
895,No,Female,30 - 44
896,Yes,Female,30 - 44
897,Yes,Female,60
898,Yes,Female,60
899,Yes,Female,30 - 44
900,Yes,Male,45 - 59
901,No,Female,45 - 59
902,No,Male,45 - 59
903,Yes,Male,45 - 59
904,No,Female,45 - 59
905,Yes,Female,45 - 59
906,Yes,Female,45 - 59
907,No,Male,30 - 44
908,Yes,Female,60
909,No,Male,18 - 29
910,No,Male,45 - 59
911,No,Female,30 - 44
912,No,Male,45 - 59
913,Yes,Female,60
914,Yes,Male,60
915,No,Male,45 - 59
916,No,Male,45 - 59
917,Yes,Female,60
918,No,Male,60
919,Yes,Female,30 - 44
920,Yes,Female,30 - 44
921,No,Male,45 - 59
922,Yes,Female,30 - 44
923,No,Male,30 - 44
924,Yes,Female,18 - 29
925,Yes,Female,45 - 59
926,No,Female,45 - 59
927,No,Male,45 - 59
928,No,Female,60
929,No,Female,45 - 59
930,No,Female,30 - 44
931,No,Male,30 - 44
932,Yes,Male,60
933,Yes,Female,45 - 59
934,Yes,Male,30 - 44
935,No,Male,45 - 59
936,No,Female,60
937,Yes,Female,30 - 44
938,No,Female,60
939,Yes,Female,18 - 29
940,No,Male,60
941,Yes,Male,60
942,Yes,Female,45 - 59
943,No,Male,60
944,Yes,Male,45 - 59
945,Yes,Female,45 - 59
946,No,Male,60
947,Yes,Female,18 - 29
948,No,Female,45 - 59
949,Yes,Male,60
950,Yes,Female,45 - 59
951,Yes,Female,45 - 59
952,Yes,Male,45 - 59
953,No,Female,60
954,No,Female,60
955,Yes,Female,30 - 44
956,Yes,Female,45 - 59
957,Yes,Female,45 - 59
958,No,Male,60
959,Yes,Female,30 - 44
960,No,Female,30 - 44
961,Yes,Female,30 - 44
962,No,Male,45 - 59
963,No,Female,30 - 44
964,No,Female,30 - 44
965,Yes,Male,30 - 44
966,Yes,Male,45 - 59
967,Yes,Male,30 - 44
968,No,Female,30 - 44
969,No,Female,60
970,Yes,Male,60
971,Yes,Female,30 - 44
972,No,Male,45 - 59
973,Yes,Male,45 - 59
974,Yes,Female,60
975,No,Female,30 - 44
976,No,Female,18 - 29
977,No,Female,60
978,No,Female,60
979,Yes,Female,30 - 44
980,No,Male,60
981,No,Female,18 - 29
982,Yes,Female,18 - 29
983,Yes,Male,60
984,No,Female,45 - 59
985,No,Male,45 - 59
986,No,Female,30 - 44
987,No,Female,45 - 59
988,Yes,Female,30 - 44
989,Yes,Female,30 - 44
990,No,Female,60
991,Yes,Female,30 - 44
992,No,Answer not given,Answer not given
993,Yes,Male,45 - 59
994,No,Female,30 - 44
995,No,Female,30 - 44
996,No,Female,45 - 59
997,No,Male,45 - 59
998,Yes,Female,60
999,No,Female,30 - 44
1000,No,Female,60
1001,Yes,Female,60
1002,No,Male,60
1003,Yes,Male,45 - 59
1004,No,Female,18 - 29
1005,No,Female,60
1006,No,Male,45 - 59
1007,No,Female,60
1008,No,Male,60
1009,No,Female,60
1010,No,Female,30 - 44
1011,No,Female,30 - 44
1012,No,Answer not given,Answer not given
